Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
B,F,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]120-124,"[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]120-124,"[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]120-124,"[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]120-124,"[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ENGINEERS,MN PERITONEUM AND PLEURA,189,5,,61,442
,,,"[0]132-153, [8]044-062, [9]044-064","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,AEROSPACE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,AEROSPACE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,AEROSPACE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,AEROSPACE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
