Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]670, 700-762, [8]503-699, [9]503-699","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"INSTALLATION, MAINTENANCE & REPAIR OCCUPATIONS",MN PERITONEUM AND PLEURA,123,17,,72,197
,,,"[0]670, 700-762, [8]503-699, [9]503-699","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]700-726, 730-762, [8]503-549, [9]503-549","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]700-726, 730-762, [8]503-549, [9]503-549","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,173,<5,,4,962
,,,"[0]700-726, 730-762, [8]503-549, [9]503-549","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,148,6,,54,323
,,,"[0]700-726, 730-762, [8]503-549, [9]503-549","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,OTHER MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]670, 726, 762, 700-705, 821, 730-736, 773, 710-713, 742-743, 751, 754-756, [8]503, 518-549, [9]503, 518-549","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,OTHER MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]670, 726, 762, 700-705, 821, 730-736, 773, 710-713, 742-743, 751, 754-756, [8]503, 518-549, [9]503, 518-549","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,OTHER MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,210,<5,,5,1168
,,,"[0]670, 726, 762, 700-705, 821, 730-736, 773, 710-713, 742-743, 751, 754-756, [8]503, 518-549, [9]503, 518-549","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,OTHER MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,45,<5,,1,249
,,,"[0]670, 726, 762, 700-705, 821, 730-736, 773, 710-713, 742-743, 751, 754-756, [8]503, 518-549, [9]503, 518-549","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SUPERVISORS OF MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]700, [8]503, [9]503","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SUPERVISORS OF MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]700, [8]503, [9]503","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SUPERVISORS OF MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,570,<5,,14,3174
,,,"[0]700, [8]503, [9]503","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SUPERVISORS OF MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]700, [8]503, [9]503","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,VEHICLE & MOBILE EQUIPMENT MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714-726, [8]505-517, [9]505-517","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,VEHICLE & MOBILE EQUIPMENT MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714-726, [8]505-517, [9]505-517","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,VEHICLE & MOBILE EQUIPMENT MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714-726, [8]505-517, [9]505-517","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,VEHICLE & MOBILE EQUIPMENT MECHANICS & REPAIRERS,MN PERITONEUM AND PLEURA,280,5,,91,653
,,,"[0]714-726, [8]505-517, [9]505-517","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,AUTOMOTIVE SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]720, [8]505-506, [9]505-506","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,AUTOMOTIVE SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]720, [8]505-506, [9]505-506","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,AUTOMOTIVE SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]720, [8]505-506, [9]505-506","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,AUTOMOTIVE SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,318,<5,,66,930
,,,"[0]720, [8]505-506, [9]505-506","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"BUS, TRUCK, MECHANICS & DIESEL ENGINE SPECIALISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]721, [8]507, [9]507","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"BUS, TRUCK, MECHANICS & DIESEL ENGINE SPECIALISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]721, [8]507, [9]507","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"BUS, TRUCK, MECHANICS & DIESEL ENGINE SPECIALISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]721, [8]507, [9]507","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"BUS, TRUCK, MECHANICS & DIESEL ENGINE SPECIALISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]721, [8]507, [9]507","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,AIRCRAFT MECHANICS & SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714, [8]508, 515, [9]508, 515","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,AIRCRAFT MECHANICS & SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714, [8]508, 515, [9]508, 515","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,AIRCRAFT MECHANICS & SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714, [8]508, 515, [9]508, 515","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,AIRCRAFT MECHANICS & SERVICE TECHNICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]714, [8]508, 515, [9]508, 515","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SMALL ENGINE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]724, [8]509, [9]509","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SMALL ENGINE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]724, [8]509, [9]509","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SMALL ENGINE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]724, [8]509, [9]509","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SMALL ENGINE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]724, [8]509, [9]509","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"AUTOMOBILE GLASS, BODY & RELATED REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]715-716, [8]514, [9]514","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"AUTOMOBILE GLASS, BODY & RELATED REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]715-716, [8]514, [9]514","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"AUTOMOBILE GLASS, BODY & RELATED REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]715-716, [8]514, [9]514","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"AUTOMOBILE GLASS, BODY & RELATED REPAIRERS",MN PERITONEUM AND PLEURA,735,<5,,18,4093
,,,"[0]715-716, [8]514, [9]514","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HEAVY VEHICLE & MOBILE EQUIPMENT MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]722, [8]516, [9]516, 517","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HEAVY VEHICLE & MOBILE EQUIPMENT MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]722, [8]516, [9]516, 517","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HEAVY VEHICLE & MOBILE EQUIPMENT MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]722, [8]516, [9]516, 517","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HEAVY VEHICLE & MOBILE EQUIPMENT MECHANICS,MN PERITONEUM AND PLEURA,395,<5,,10,2202
,,,"[0]722, [8]516, [9]516, 517","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"MAINTENANCE & REPAIR WORKERS, GENERAL",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]734, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"MAINTENANCE & REPAIR WORKERS, GENERAL",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]734, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"MAINTENANCE & REPAIR WORKERS, GENERAL",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]734, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"MAINTENANCE & REPAIR WORKERS, GENERAL",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]734, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]733, 821, [8]518, [9]518","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]733, 821, [8]518, [9]518","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]733, 821, [8]518, [9]518","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]733, 821, [8]518, [9]518","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MACHINERY MAINTENANCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]735, [8]519, [9]519","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MACHINERY MAINTENANCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]735, [8]519, [9]519","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MACHINERY MAINTENANCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]735, [8]519, [9]519","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MACHINERY MAINTENANCE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]735, [8]519, [9]519","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-713, 732, 742, [8]523-533, [9]523-533","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-713, 732, 742, [8]523-533, [9]523-533","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-713, 732, 742, [8]523-533, [9]523-533","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-713, 732, 742, [8]523-533, [9]523-533","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"ELECTRONIC REPAIRERS, COMMUNICATIONS & INDUSTRIAL EQUIPMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-703, 705, 710, 712, [8]523, [9]523","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"ELECTRONIC REPAIRERS, COMMUNICATIONS & INDUSTRIAL EQUIPMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-703, 705, 710, 712, [8]523, [9]523","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"ELECTRONIC REPAIRERS, COMMUNICATIONS & INDUSTRIAL EQUIPMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-703, 705, 710, 712, [8]523, [9]523","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"ELECTRONIC REPAIRERS, COMMUNICATIONS & INDUSTRIAL EQUIPMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701-703, 705, 710, 712, [8]523, [9]523","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"COMPUTER, AUTOMATED TELLER & OFFICE MACHINE REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701, [8]525, 538, [9]525, 538","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"COMPUTER, AUTOMATED TELLER & OFFICE MACHINE REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701, [8]525, 538, [9]525, 538","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"COMPUTER, AUTOMATED TELLER & OFFICE MACHINE REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701, [8]525, 538, [9]525, 538","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"COMPUTER, AUTOMATED TELLER & OFFICE MACHINE REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]701, [8]525, 538, [9]525, 538","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HOME APPLIANCE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]732, [8]526, [9]526","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HOME APPLIANCE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]732, [8]526, [9]526","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HOME APPLIANCE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]732, [8]526, [9]526","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HOME APPLIANCE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]732, [8]526, [9]526","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,TELEPHONE LINE INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]742, [8]527, [9]527","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,TELEPHONE LINE INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]742, [8]527, [9]527","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,TELEPHONE LINE INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]742, [8]527, [9]527","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,TELEPHONE LINE INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]742, [8]527, [9]527","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,RADIO & TELECOMMUNICATION EEQUIPMENT INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]702, [8]529, [9]529","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,RADIO & TELECOMMUNICATION EEQUIPMENT INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]702, [8]529, [9]529","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,RADIO & TELECOMMUNICATION EEQUIPMENT INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]702, [8]529, [9]529","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,RADIO & TELECOMMUNICATION EEQUIPMENT INSTALLERS & REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]702, [8]529, [9]529","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"ELECTRIC MOTOR, POWER TOOL AND ELECTRONIC EQUIP. REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"ELECTRIC MOTOR, POWER TOOL AND ELECTRONIC EQUIP. REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"ELECTRIC MOTOR, POWER TOOL AND ELECTRONIC EQUIP. REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"ELECTRIC MOTOR, POWER TOOL AND ELECTRONIC EQUIP. REPAIRERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,POWER-LINE INSTALL. & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]741, [8]577, [9]577","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,POWER-LINE INSTALL. & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]741, [8]577, [9]577","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,POWER-LINE INSTALL. & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]741, [8]577, [9]577","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,POWER-LINE INSTALL. & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]741, [8]577, [9]577","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MISCELLANEOUS ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MISCELLANEOUS ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MISCELLANEOUS ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MISCELLANEOUS ELECTRICAL & ELECTRONIC EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]704, 711, 713, [8]533, [9]533","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"HEATING, AIR CONDITIONING, & REFRIGERATION MECHANICS, INSTALLERS/REPAIRER",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]731, [8]534, [9]534","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"HEATING, AIR CONDITIONING, & REFRIGERATION MECHANICS, INSTALLERS/REPAIRER",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]731, [8]534, [9]534","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"HEATING, AIR CONDITIONING, & REFRIGERATION MECHANICS, INSTALLERS/REPAIRER",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]731, [8]534, [9]534","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"HEATING, AIR CONDITIONING, & REFRIGERATION MECHANICS, INSTALLERS/REPAIRER",MN PERITONEUM AND PLEURA,911,<5,,23,5076
,,,"[0]731, [8]534, [9]534","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MISCELLANEOUS MECHANICS & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 743, 730, 751, 706, 773, 754-756, 733-736, 762, [8]535-549, [9]535-549","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MISCELLANEOUS MECHANICS & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 743, 730, 751, 706, 773, 754-756, 733-736, 762, [8]535-549, [9]535-549","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MISCELLANEOUS MECHANICS & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 743, 730, 751, 706, 773, 754-756, 733-736, 762, [8]535-549, [9]535-549","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MISCELLANEOUS MECHANICS & REPAIRER,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 743, 730, 751, 706, 773, 754-756, 733-736, 762, [8]535-549, [9]535-549","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]743, [8]535, [9]535","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]743, [8]535, [9]535","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]743, [8]535, [9]535","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]743, [8]535, [9]535","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,LOCKSMITHS & SAFE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]754, [8]536, [9]536","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,LOCKSMITHS & SAFE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]754, [8]536, [9]536","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,LOCKSMITHS & SAFE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]754, [8]536, [9]536","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,LOCKSMITHS & SAFE REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]754, [8]536, [9]536","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CONTROL & VALVE INSTALLER REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]730, [8]539, [9]539","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CONTROL & VALVE INSTALLER REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]730, [8]539, [9]539","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CONTROL & VALVE INSTALLER REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]730, [8]539, [9]539","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CONTROL & VALVE INSTALLER REPAIRERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]730, [8]539, [9]539","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"MILLWRIGHTS, ENGINE INSTALLERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]773, 736, [8]544, [9]544","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"MILLWRIGHTS, ENGINE INSTALLERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]773, 736, [8]544, [9]544","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"MILLWRIGHTS, ENGINE INSTALLERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]773, 736, [8]544, [9]544","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"MILLWRIGHTS, ENGINE INSTALLERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]773, 736, [8]544, [9]544","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SPECIFIED MECHANICS & REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 733-735, 743, 751, 755-756, 762, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SPECIFIED MECHANICS & REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 733-735, 743, 751, 755-756, 762, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SPECIFIED MECHANICS & REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 733-735, 743, 751, 755-756, 762, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SPECIFIED MECHANICS & REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]726, 733-735, 743, 751, 755-756, 762, [8]547, [9]547","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"HELPERS, MECHANICS, REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]761-762, 734, [8]549, [9]865, 547, 549","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"HELPERS, MECHANICS, REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]761-762, 734, [8]549, [9]865, 547, 549","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"HELPERS, MECHANICS, REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]761-762, 734, [8]549, [9]865, 547, 549","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"HELPERS, MECHANICS, REPAIRERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]761-762, 734, [8]549, [9]865, 547, 549","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CONSTRUCTION TRADES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]620-676, [8]553-599, [9]553-599","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CONSTRUCTION TRADES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]620-676, [8]553-599, [9]553-599","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CONSTRUCTION TRADES,MN PERITONEUM AND PLEURA,361,<5,,9,2012
,,,"[0]620-676, [8]553-599, [9]553-599","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CONSTRUCTION TRADES,MN PERITONEUM AND PLEURA,114,7,,46,234
,,,"[0]620-676, [8]553-599, [9]553-599","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FIRSTLINE SUPERVISORS CONST & EXT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]620, [8]553-558, 613, [9]553-558, 613","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FIRSTLINE SUPERVISORS CONST & EXT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
